week,kickoff,away_team,home_team
1,2016-09-08T20:30:00-05:00,Panthers,Broncos
1,2016-09-11T13:00:00-05:00,Buccaneers,Falcons
1,2016-09-11T13:00:00-05:00,Bills,Ravens
1,2016-09-11T13:00:00-05:00,Bears,Texans
1,2016-09-11T13:00:00-05:00,Packers,Jaguars
1,2016-09-11T13:00:00-05:00,Chargers,Chiefs
1,2016-09-11T13:00:00-05:00,Raiders,Saints
1,2016-09-11T13:00:00-05:00,Bengals,Jets
1,2016-09-11T13:00:00-05:00,Browns,Eagles
1,2016-09-11T13:00:00-05:00,Vikings,Titans
1,2016-09-11T16:05:00-05:00,Dolphins,Seahawks
1,2016-09-11T16:25:00-05:00,Giants,Cowboys
1,2016-09-11T16:25:00-05:00,Lions,Colts
1,2016-09-11T20:30:00-05:00,Patriots,Cardinals
1,2016-09-12T19:10:00-05:00,Steelers,Redskins
1,2016-09-12T22:20:00-05:00,Rams,49ers
2,2016-09-15T20:25:00-05:00,Jets,Bills
2,2016-09-18T13:00:00-05:00,49ers,Panthers
2,2016-09-18T13:00:00-05:00,Ravens,Browns
2,2016-09-18T13:00:00-05:00,Titans,Lions
2,2016-09-18T13:00:00-05:00,Chiefs,Texans
2,2016-09-18T13:00:00-05:00,Dolphins,Patriots
2,2016-09-18T13:00:00-05:00,Saints,Giants
2,2016-09-18T13:00:00-05:00,Bengals,Steelers
2,2016-09-18T13:00:00-05:00,Cowboys,Redskins
2,2016-09-18T16:05:00-05:00,Buccaneers,Cardinals
2,2016-09-18T16:05:00-05:00,Seahawks,Rams
2,2016-09-18T16:25:00-05:00,Colts,Broncos
2,2016-09-18T16:25:00-05:00,Falcons,Raiders
2,2016-09-18T16:25:00-05:00,Jaguars,Chargers
2,2016-09-18T20:30:00-05:00,Packers,Vikings
2,2016-09-19T20:30:00-05:00,Eagles,Bears
3,2016-09-22T20:25:00-05:00,Texans,Patriots
3,2016-09-25T13:00:00-05:00,Cardinals,Bills
3,2016-09-25T13:00:00-05:00,Vikings,Panthers
3,2016-09-25T13:00:00-05:00,Broncos,Bengals
3,2016-09-25T13:00:00-05:00,Lions,Packers
3,2016-09-25T13:00:00-05:00,Ravens,Jaguars
3,2016-09-25T13:00:00-05:00,Browns,Dolphins
3,2016-09-25T13:00:00-05:00,Redskins,Giants
3,2016-09-25T13:00:00-05:00,Raiders,Titans
3,2016-09-25T16:05:00-05:00,49ers,Seahawks
3,2016-09-25T16:05:00-05:00,Rams,Buccaneers
3,2016-09-25T16:25:00-05:00,Chargers,Colts
3,2016-09-25T16:25:00-05:00,Jets,Chiefs
3,2016-09-25T16:25:00-05:00,Steelers,Eagles
3,2016-09-25T20:30:00-05:00,Bears,Cowboys
3,2016-09-26T20:30:00-05:00,Falcons,Saints
4,2016-09-29T20:25:00-05:00,Dolphins,Bengals
4,2016-10-02T09:30:00-05:00,Colts,Jaguars
4,2016-10-02T13:00:00-05:00,Panthers,Falcons
4,2016-10-02T13:00:00-05:00,Raiders,Ravens
4,2016-10-02T13:00:00-05:00,Lions,Bears
4,2016-10-02T13:00:00-05:00,Titans,Texans
4,2016-10-02T13:00:00-05:00,Bills,Patriots
4,2016-10-02T13:00:00-05:00,Seahawks,Jets
4,2016-10-02T13:00:00-05:00,Browns,Redskins
4,2016-10-02T16:05:00-05:00,Broncos,Buccaneers
4,2016-10-02T16:25:00-05:00,Rams,Cardinals
4,2016-10-02T16:25:00-05:00,Saints,Chargers
4,2016-10-02T16:25:00-05:00,Cowboys,49ers
4,2016-10-02T20:30:00-05:00,Chiefs,Steelers
4,2016-10-03T20:30:00-05:00,Giants,Vikings
5,2016-10-06T20:25:00-05:00,Cardinals,49ers
5,2016-10-09T13:00:00-05:00,Redskins,Ravens
5,2016-10-09T13:00:00-05:00,Patriots,Browns
5,2016-10-09T13:00:00-05:00,Eagles,Lions
5,2016-10-09T13:00:00-05:00,Bears,Colts
5,2016-10-09T13:00:00-05:00,Titans,Dolphins
5,2016-10-09T13:00:00-05:00,Texans,Vikings
5,2016-10-09T13:00:00-05:00,Jets,Steelers
5,2016-10-09T16:05:00-05:00,Falcons,Broncos
5,2016-10-09T16:25:00-05:00,Bengals,Cowboys
5,2016-10-09T16:25:00-05:00,Bills,Rams
5,2016-10-09T16:25:00-05:00,Chargers,Raiders
5,2016-10-09T20:30:00-05:00,Giants,Packers
5,2016-10-10T20:30:00-05:00,Buccaneers,Panthers
6,2016-10-13T20:25:00-05:00,Broncos,Chargers
6,2016-10-16T13:00:00-05:00,49ers,Bills
6,2016-10-16T13:00:00-05:00,Jaguars,Bears
6,2016-10-16T13:00:00-05:00,Rams,Lions
6,2016-10-16T13:00:00-05:00,Steelers,Dolphins
6,2016-10-16T13:00:00-05:00,Bengals,Patriots
6,2016-10-16T13:00:00-05:00,Panthers,Saints
6,2016-10-16T13:00:00-05:00,Ravens,Giants
6,2016-10-16T13:00:00-05:00,Browns,Titans
6,2016-10-16T13:00:00-05:00,Eagles,Redskins
6,2016-10-16T16:05:00-05:00,Chiefs,Raiders
6,2016-10-16T16:25:00-05:00,Cowboys,Packers
6,2016-10-16T16:25:00-05:00,Falcons,Seahawks
6,2016-10-16T20:30:00-05:00,Colts,Texans
6,2016-10-17T20:30:00-05:00,Jets,Cardinals
7,2016-10-20T20:25:00-05:00,Bears,Packers
7,2016-10-23T09:30:00-05:00,Giants,Rams
7,2016-10-23T13:00:00-05:00,Browns,Bengals
7,2016-10-23T13:00:00-05:00,Redskins,Lions
7,2016-10-23T13:00:00-05:00,Raiders,Jaguars
7,2016-10-23T13:00:00-05:00,Saints,Chiefs
7,2016-10-23T13:00:00-05:00,Bills,Dolphins
7,2016-10-23T13:00:00-05:00,Ravens,Jets
7,2016-10-23T13:00:00-05:00,Vikings,Eagles
7,2016-10-23T13:00:00-05:00,Colts,Titans
7,2016-10-23T16:05:00-05:00,Chargers,Falcons
7,2016-10-23T16:05:00-05:00,Buccaneers,49ers
7,2016-10-23T16:25:00-05:00,Patriots,Steelers
7,2016-10-23T20:30:00-05:00,Seahawks,Cardinals
7,2016-10-24T20:30:00-05:00,Texans,Broncos
8,2016-10-27T20:25:00-05:00,Jaguars,Titans
