"Admiral Ackbar"
"Ahsoka Tano"
"Asajj Ventress"
"BB-8"
"Baze Malbus"
"Bib Fortuna"
"Boba Fett"
"C-3PO"
"Captain Panaka"
"Captain Phasma"
"Captain Rex"
"Cassian Andor"
"Chewbacca"
"Chirrut Imwe"
"Count Dooku"
"Dak Ralter"
"Darth Maul"
"Darth Vader"
"Director Krennic"
"Emperor Palpatine"
"Finn"
"General Grievous"
"General Hux"
"Grand Moff Tarkin"
"Greedo"
"Han Solo"
"Jabba the Hutt"
"Jyn Erso"
"K-2SO"
"Kit Fisto"
"Kylo Ren"
"Leia Organa"
"Luke Skywalker"
"Mace Windu"
"Maz Kanata"
"Mon Mothma"
"Nute Gunray"
"Obi-Wan Kenobi"
"Owen Lars"
"Padme Amidala"
"Plo Koon"
"Poe Dameron"
"Qui-Gon Jinn"
"R2-D2"
"Rey"
"Salacious B. Crumb"
"Saw Gerrera"
"Sebulba"
"Supreme Leader Snoke"
"Watto"
"Wedge Antilles"
"Wicket"
"Yoda"
